"data_bulletin","week","country","cases","cumulative"
2022-06-17,"2021-49","Cyprus",0,1
2022-06-17,"2021-50","Cyprus",0,1
2022-06-17,"2021-51","Cyprus",0,1
2022-06-17,"2021-52","Cyprus",0,1
2022-06-17,"2022-01","Cyprus",0,1
2022-06-17,"2022-02","Cyprus",0,1
2022-06-17,"2022-03","Cyprus",0,1
2022-06-17,"2022-04","Cyprus",0,1
2022-06-17,"2022-05","Cyprus",0,1
2022-06-17,"2022-06","Cyprus",0,1
2022-06-17,"2022-07","Cyprus",0,1
2022-06-17,"2022-08","Cyprus",0,1
2022-06-17,"2022-09","Cyprus",0,1
2022-06-17,"2022-10","Cyprus",1,2
2022-06-17,"2022-11","Cyprus",0,2
2022-06-17,"2022-12","Cyprus",0,2
2022-06-17,"2022-13","Cyprus",0,2
2022-06-17,"2022-14","Cyprus",0,2
2022-06-17,"2022-15","Cyprus",0,2
2022-06-17,"2022-16","Cyprus",0,2
2022-06-17,"2022-17","Cyprus",0,2
2022-06-17,"2022-18","Cyprus",0,2
2022-06-17,"2022-19","Cyprus",0,2
2022-06-17,"2022-20","Cyprus",0,2
2022-06-17,"2022-21","Cyprus",0,2
2022-06-17,"2022-22","Cyprus",0,2
2022-06-17,"2022-23","Cyprus",0,2
2022-06-17,"2022-24","Cyprus",0,2
2022-07-01,"2021-39","Cyprus",0,0
2022-07-01,"2021-40","Cyprus",0,0
2022-07-01,"2021-41","Cyprus",0,0
2022-07-01,"2021-42","Cyprus",0,0
2022-07-01,"2021-43","Cyprus",0,0
2022-07-01,"2021-44","Cyprus",0,0
2022-07-01,"2021-45","Cyprus",1,1
2022-07-01,"2021-46","Cyprus",0,1
2022-07-01,"2021-47","Cyprus",0,1
2022-07-01,"2021-48","Cyprus",0,1
2022-07-01,"2021-49","Cyprus",0,1
2022-07-01,"2021-50","Cyprus",0,1
2022-07-01,"2021-51","Cyprus",0,1
2022-07-01,"2021-52","Cyprus",0,1
2022-07-01,"2022-01","Cyprus",0,1
2022-07-01,"2022-02","Cyprus",0,1
2022-07-01,"2022-03","Cyprus",0,1
2022-07-01,"2022-04","Cyprus",0,1
2022-07-01,"2022-05","Cyprus",0,1
2022-07-01,"2022-06","Cyprus",0,1
2022-07-01,"2022-07","Cyprus",0,1
2022-07-01,"2022-08","Cyprus",0,1
2022-07-01,"2022-09","Cyprus",0,1
2022-07-01,"2022-10","Cyprus",1,2
2022-07-01,"2022-11","Cyprus",0,2
2022-07-01,"2022-12","Cyprus",0,2
2022-07-01,"2022-13","Cyprus",0,2
2022-07-01,"2022-14","Cyprus",0,2
2022-07-01,"2022-15","Cyprus",0,2
2022-07-01,"2022-16","Cyprus",0,2
2022-07-01,"2022-17","Cyprus",0,2
2022-07-01,"2022-18","Cyprus",0,2
2022-07-01,"2022-19","Cyprus",0,2
2022-07-01,"2022-20","Cyprus",0,2
2022-07-01,"2022-21","Cyprus",0,2
2022-07-01,"2022-22","Cyprus",0,2
2022-07-01,"2022-23","Cyprus",0,2
2022-07-01,"2022-24","Cyprus",0,2
2022-07-01,"2022-25","Cyprus",0,2
2022-06-17,"2021-39","Denmark",0,0
2022-06-17,"2021-40","Denmark",0,0
2022-06-17,"2021-41","Denmark",0,0
2022-06-17,"2021-42","Denmark",0,0
2022-06-17,"2021-43","Denmark",0,0
2022-06-17,"2021-44","Denmark",0,0
2022-06-17,"2021-45","Denmark",0,0
2022-06-17,"2021-46","Denmark",0,0
2022-06-17,"2021-47","Denmark",0,0
2022-06-17,"2021-48","Denmark",0,0
2022-06-17,"2021-49","Denmark",0,0
2022-06-17,"2021-50","Denmark",0,0
2022-06-17,"2021-51","Denmark",0,0
2022-06-17,"2021-52","Denmark",0,0
2022-06-17,"2022-01","Denmark",1,1
2022-06-17,"2022-02","Denmark",0,1
2022-06-17,"2022-03","Denmark",0,1
2022-06-17,"2022-04","Denmark",0,1
2022-06-17,"2022-05","Denmark",1,2
2022-06-17,"2022-06","Denmark",0,2
2022-06-17,"2022-07","Denmark",0,2
2022-06-17,"2022-08","Denmark",0,2
2022-06-17,"2022-09","Denmark",0,2
2022-06-17,"2022-10","Denmark",1,3
2022-06-17,"2022-11","Denmark",0,3
2022-06-17,"2022-12","Denmark",2,5
2022-06-17,"2022-13","Denmark",0,5
2022-06-17,"2022-14","Denmark",1,6
2022-06-17,"2022-15","Denmark",0,6
2022-06-17,"2022-16","Denmark",1,7
2022-06-17,"2022-17","Denmark",0,7
2022-06-17,"2022-18","Denmark",0,7
2022-06-17,"2022-19","Denmark",0,7
2022-06-17,"2022-20","Denmark",0,7
2022-06-17,"2022-21","Denmark",0,7
2022-06-17,"2022-22","Denmark",0,7
2022-06-17,"2022-23","Denmark",0,7
2022-06-17,"2022-24","Denmark",0,7
2022-07-01,"2021-39","Denmark",0,0
2022-07-01,"2021-40","Denmark",0,0
2022-07-01,"2021-41","Denmark",0,0
2022-07-01,"2021-42","Denmark",0,0
2022-07-01,"2021-43","Denmark",0,0
2022-07-01,"2021-44","Denmark",0,0
2022-07-01,"2021-45","Denmark",0,0
2022-07-01,"2021-46","Denmark",0,0
2022-07-01,"2021-47","Denmark",0,0
2022-07-01,"2021-48","Denmark",0,0
2022-07-01,"2021-49","Denmark",0,0
2022-07-01,"2021-50","Denmark",0,0
2022-07-01,"2021-51","Denmark",0,0
2022-07-01,"2021-52","Denmark",0,0
2022-07-01,"2022-01","Denmark",1,1
2022-07-01,"2022-02","Denmark",0,1
2022-07-01,"2022-03","Denmark",0,1
2022-07-01,"2022-04","Denmark",0,1
2022-07-01,"2022-05","Denmark",1,2
2022-07-01,"2022-06","Denmark",0,2
2022-07-01,"2022-07","Denmark",0,2
2022-07-01,"2022-08","Denmark",0,2
2022-07-01,"2022-09","Denmark",0,2
2022-07-01,"2022-10","Denmark",1,3
